,Site_Id,Unit_Id,Read_Date,Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp-Celsius,Air Temp (?F),Time (24:00),Field_Tech,DateVerified,WhoVerified,AirTemp (C),Year
330,Bay,,1/4/1998,1.5,12.3,6.4,0.25,0.5,8.9,,57.2,4:48,Strader,,,14.0,1998
331,Bay,,1/25/1998,1.2,12.5,6.5,0.3,0.6,8.1,,45.86,20:38,Strader,,,7.7,1998
332,Bay,,2/22/1998,1.1,10.7,6.3,0.25,0.75,10.5,,,12:00,Strader,,,-17.77777778,1998
333,Bay,,3/22/1998,1.0,11.1,6.4,0.25,0.71,11.0,,48.74,17:45,Strader,,,9.3,1998
334,Bay,,4/19/1998,1.0,10.8,6.9,0.3,0.78,17.0,,,0:00,Strader,,,-17.77777778,1998
335,Bay,,5/2/1998,1.0,10.9,8.2,0.35,0.78,21.5,,72.5,12:00,Strader,,,22.5,1998
336,Bay,,5/17/1998,1.1,9.3,6.8,0.25,0.48,23.5,,80.78,18:43,Strader,,,27.1,1998
337,Bay,,6/7/1998,1.1,10.0,7.2,0.4,0.5,22.9,,,21:36,Strader,,,-17.77777778,1998
338,Bay,,6/14/1998,0.9,9.7,6.8,0.4,0.65,26.0,,79.88,21:07,Strader,,,26.6,1998
339,Bay,,7/5/1998,1.0,8.4,6.9,0.32,0.65,26.0,,82.04,0:57,Strader,,,27.8,1998
340,Bay,,7/25/1998,0.9,8.6,7.3,0.4,0.65,29.0,,81.32,7:40,Strader,,,27.4,1998
341,Bay,,8/23/1998,1.0,11.0,8.8,0.3,0.62,28.0,,85.1,2:24,Strader,,,29.5,1998
342,Bay,,9/12/1998,0.9,10.8,8.5,0.28,0.66,25.0,,87.1,2:24,Strader,,,30.61111111,1998
343,Bay,,11/2/1998,1.1,10.0,6.9,0.3,0.35,14.0,,58.28,6:43,Strader,,,14.6,1998
344,Bay,,11/21/1998,1.0,10.9,7.3,0.3,0.48,15.0,,57.56,13:26,Strader,,,14.2,1998
345,A,,8/11/1999,3.0,2.6,7.7,0.6,0.6,26.0,,80.96,23:02,Not Recorded,,,27.2,1999
346,A,,8/18/1999,3.0,1.6,8.7,,,31.0,,91.4,9:36,Not Recorded,,,33.0,1999
347,A,,9/8/1999,1.8,1.35,8.2,0.4,1.0,28.0,,76.6,14:24,Not Recorded,,,24.77777778,1999
348,A,,10/15/1999,0.1,5.65,7.3,0.6,0.8,20.0,,,0:00,Not Recorded,,,-17.77777778,1999
349,A,,11/10/1999,0.0,6.7,7.6,0.65,0.95,18.0,,,0:00,Not Recorded,,,-17.77777778,1999
350,A,,12/16/1999,,4.7,8.2,0.6,0.8,,,52.0,0:00,Not Recorded,,,11.11111111,1999
351,A,,12/30/1999,1.0,7.8,6.9,0.65,0.85,8.0,,42.8,19:12,Not Recorded,,,6.0,1999
352,B,,8/11/1999,2.5,3.1,8.1,0.25,0.25,27.0,,80.96,23:02,Not Recorded,,,27.2,1999
353,B,,8/18/1999,3.0,2.2,8.9,,,30.0,,87.8,19:12,Not Recorded,,,31.0,1999
354,B,,9/8/1999,0.9,3.6,8.2,0.3,0.3,32.0,,,0:00,Not Recorded,,,-17.77777778,1999
355,B,,10/15/1999,1.0,4.7,7.0,0.3,0.3,17.0,,,0:00,Not Recorded,,,-17.77777778,1999
356,B,,10/27/1999,,,7.7,0.25,0.25,,,72.0,0:00,Not Recorded,,,22.22222222,1999
357,B,,11/10/1999,1.0,6.3,7.4,0.4,0.4,16.0,,,0:00,Not Recorded,,,-17.77777778,1999
358,B,,12/16/1999,,3.25,7.9,0.21,0.21,,,51.0,0:00,Not Recorded,,,10.55555556,1999
359,B,,12/30/1999,0.2,6.1,6.9,0.25,0.25,7.0,,41.0,0:00,Not Recorded,,,5.0,1999
360,C,,8/11/1999,3.0,1.9,8.5,0.5,0.5,27.0,,84.2,4:48,Not Recorded,,,29.0,1999
361,C,,8/18/1999,0.1,1.9,8.8,,,27.0,,82.4,9:36,Not Recorded,,,28.0,1999
362,C,,9/8/1999,1.0,2.4,8.0,5.8,5.8,34.0,,,0:00,Not Recorded,,,-17.77777778,1999
363,C,,9/22/1999,1.0,3.7,7.8,0.8,0.8,18.0,,60.0,0:00,Not Recorded,,,15.55555556,1999
364,C,,10/15/1999,0.1,5.5,6.6,0.55,0.55,19.0,,,0:00,Not Recorded,,,-17.77777778,1999
365,C,,10/27/1999,0.0,3.7,7.7,0.55,0.55,43.0,,72.0,0:00,Not Recorded,,,22.22222222,1999
366,C,,11/10/1999,0.2,10.0,7.8,0.6,0.6,17.0,,,0:00,Not Recorded,,,-17.77777778,1999
367,C,,12/16/1999,,4.3,7.9,0.7,0.7,,,50.0,0:00,Not Recorded,,,10.0,1999
368,C,,12/30/1999,0.1,7.3,6.9,0.7,0.7,5.0,,41.0,0:00,Not Recorded,,,5.0,1999
369,D,,8/11/1999,0.2,2.5,8.6,0.63,1.25,27.0,,85.46,11:02,Not Recorded,,,29.7,1999
370,D,,8/18/1999,3.0,2.8,8.0,,,28.0,,87.8,,Not Recorded,,,31.0,1999
371,D,,9/8/1999,0.0,1.5,7.4,1.75,1.85,34.5,,,12:00,Not Recorded,,,-17.77777778,1999
372,D,,9/22/1999,0.0,1.9,7.6,0.5,1.65,18.0,,,0:00,Not Recorded,,,-17.77777778,1999
373,D,,10/15/1999,0.0,3.25,7.3,0.55,1.55,17.0,,,0:00,Not Recorded,,,-17.77777778,1999
